codgeo,ze2020,libze2020,population_2021_total
01001,8405,Bourg-en-Bresse,832.0
01002,8405,Bourg-en-Bresse,267.0
01004,8405,Bourg-en-Bresse,14854.0
01005,8434,Villefranche-sur-Saône,1897.0
01006,8404,Belley,113.0
01007,8405,Bourg-en-Bresse,2833.0
01008,8405,Bourg-en-Bresse,768.0
01009,8404,Belley,322.0
01010,8416,Le Genevois Français,1125.0
01011,8425,Oyonnax,383.0
01012,8404,Belley,327.0
01013,8405,Bourg-en-Bresse,141.0
01014,8425,Oyonnax,3409.0
01015,8404,Belley,667.0
01016,0059,Mâcon,459.0
01017,8405,Bourg-en-Bresse,432.0
01019,8404,Belley,26.0
01021,8434,Villefranche-sur-Saône,1498.0
01022,8404,Belley,1177.0
01023,0059,Mâcon,77.0
01024,8405,Bourg-en-Bresse,3336.0
01025,0059,Mâcon,4065.0
01026,0059,Mâcon,979.0
01027,8421,Lyon,2692.0
01028,8434,Villefranche-sur-Saône,621.0
01029,8405,Bourg-en-Bresse,700.0
01030,8434,Villefranche-sur-Saône,830.0
01031,8425,Oyonnax,3636.0
01032,8421,Lyon,3434.0
01033,8416,Le Genevois Français,16295.0
01034,8404,Belley,9239.0
01035,8425,Oyonnax,306.0
01036,8404,Belley,1342.0
01037,8404,Belley,310.0
01038,8405,Bourg-en-Bresse,764.0
01040,8405,Bourg-en-Bresse,480.0
01041,8405,Bourg-en-Bresse,749.0
01042,0059,Mâcon,290.0
01043,8421,Lyon,4877.0
01044,8416,Le Genevois Français,626.0
01045,8405,Bourg-en-Bresse,284.0
01046,0059,Mâcon,904.0
01047,8405,Bourg-en-Bresse,1292.0
01049,8421,Lyon,3361.0
01050,0059,Mâcon,386.0
01051,8425,Oyonnax,95.0
01052,8405,Bourg-en-Bresse,327.0
01053,8405,Bourg-en-Bresse,41525.0
01054,8405,Bourg-en-Bresse,1517.0
01056,8405,Bourg-en-Bresse,356.0
01057,0059,Mâcon,510.0
01058,8404,Belley,818.0
01060,8404,Belley,518.0
01061,8404,Belley,1129.0
01062,8421,Lyon,978.0
01063,8425,Oyonnax,576.0
01064,8405,Bourg-en-Bresse,1099.0
01065,8405,Bourg-en-Bresse,1851.0
01066,8404,Belley,95.0
01067,8425,Oyonnax,261.0
01068,8405,Bourg-en-Bresse,761.0
01069,8405,Bourg-en-Bresse,1505.0
01071,8416,Le Genevois Français,5307.0
01072,8405,Bourg-en-Bresse,3285.0
01073,8404,Belley,992.0
01074,8405,Bourg-en-Bresse,2559.0
01075,8434,Villefranche-sur-Saône,1430.0
01076,8404,Belley,124.0
01077,8405,Bourg-en-Bresse,189.0
01078,8416,Le Genevois Français,1619.0
01079,8404,Belley,826.0
01080,8404,Belley,645.0
01081,8416,Le Genevois Français,718.0
01082,8416,Le Genevois Français,616.0
01083,8434,Villefranche-sur-Saône,1003.0
01084,8405,Bourg-en-Bresse,931.0
01085,8405,Bourg-en-Bresse,394.0
01087,8425,Oyonnax,279.0
01088,8405,Bourg-en-Bresse,898.0
01089,8405,Bourg-en-Bresse,2287.0
01090,8405,Bourg-en-Bresse,360.0
01092,8405,Bourg-en-Bresse,1649.0
01093,8405,Bourg-en-Bresse,5059.0
01094,0059,Mâcon,767.0
01095,8405,Bourg-en-Bresse,832.0
01096,8405,Bourg-en-Bresse,1036.0
01098,8404,Belley,1188.0
01099,8405,Bourg-en-Bresse,1600.0
01100,8404,Belley,131.0
01101,8425,Oyonnax,150.0
01102,0059,Mâcon,973.0
01103,8416,Le Genevois Français,2261.0
01104,8416,Le Genevois Français,445.0
01105,8434,Villefranche-sur-Saône,1916.0
01106,8405,Bourg-en-Bresse,176.0
01107,8405,Bourg-en-Bresse,140.0
01108,8405,Bourg-en-Bresse,1227.0
01109,8416,Le Genevois Français,2249.0
01110,8404,Belley,163.0
01111,8405,Bourg-en-Bresse,135.0
01112,8425,Oyonnax,473.0
01113,8405,Bourg-en-Bresse,815.0
01114,8416,Le Genevois Français,685.0
01115,8405,Bourg-en-Bresse,1348.0
01116,8404,Belley,493.0
01117,8404,Belley,149.0
01118,8416,Le Genevois Français,1296.0
01121,8404,Belley,117.0
01123,0059,Mâcon,1162.0
01124,8405,Bourg-en-Bresse,703.0
01125,8405,Bourg-en-Bresse,596.0
01127,8405,Bourg-en-Bresse,504.0
01128,8405,Bourg-en-Bresse,297.0
01129,8405,Bourg-en-Bresse,306.0
01130,8405,Bourg-en-Bresse,2380.0
01133,8404,Belley,389.0
01134,0059,Mâcon,1818.0
01135,8416,Le Genevois Français,2288.0
01136,0059,Mâcon,943.0
01138,8404,Belley,3426.0
01139,8405,Bourg-en-Bresse,451.0
01140,8405,Bourg-en-Bresse,784.0
01141,8404,Belley,433.0
01142,8421,Lyon,4753.0
01143,8416,Le Genevois Français,10137.0
01145,8405,Bourg-en-Bresse,1207.0
01146,8405,Bourg-en-Bresse,437.0
01147,8405,Bourg-en-Bresse,526.0
01148,8425,Oyonnax,1953.0
01149,8405,Bourg-en-Bresse,1094.0
01150,8405,Bourg-en-Bresse,215.0
01151,8405,Bourg-en-Bresse,1139.0
01152,8425,Oyonnax,765.0
01153,8416,Le Genevois Français,2127.0
01155,8404,Belley,142.0
01156,8421,Lyon,877.0
01157,8434,Villefranche-sur-Saône,2431.0
01158,8416,Le Genevois Français,1058.0
01159,0059,Mâcon,3381.0
01160,8416,Le Genevois Français,10920.0
01162,8404,Belley,64.0
01163,8405,Bourg-en-Bresse,2014.0
01165,8434,Villefranche-sur-Saône,1585.0
01166,8434,Villefranche-sur-Saône,2482.0
01167,8434,Villefranche-sur-Saône,658.0
01169,8434,Villefranche-sur-Saône,650.0
01170,8425,Oyonnax,1048.0
01171,8425,Oyonnax,835.0
01173,8416,Le Genevois Français,13078.0
01174,8416,Le Genevois Français,176.0
01175,0059,Mâcon,786.0
01177,8405,Bourg-en-Bresse,184.0
01179,0059,Mâcon,1901.0
01180,8416,Le Genevois Français,864.0
01181,8425,Oyonnax,1230.0
01183,8434,Villefranche-sur-Saône,1495.0
01184,8405,Bourg-en-Bresse,758.0
01185,8404,Belley,4807.0
01187,8404,Belley,609.0
01188,8434,Villefranche-sur-Saône,689.0
01189,8416,Le Genevois Français,1123.0
01190,8404,Belley,89.0
01191,8425,Oyonnax,155.0
01192,8425,Oyonnax,2267.0
01193,8404,Belley,222.0
01194,8434,Villefranche-sur-Saône,6355.0
01195,8405,Bourg-en-Bresse,1861.0
01196,8405,Bourg-en-Bresse,1259.0
01197,8405,Bourg-en-Bresse,380.0
01198,8405,Bourg-en-Bresse,262.0
01199,8405,Bourg-en-Bresse,2124.0
01200,8405,Bourg-en-Bresse,210.0
01202,8405,Bourg-en-Bresse,7268.0
01203,0059,Mâcon,1299.0
01204,8425,Oyonnax,746.0
01206,8425,Oyonnax,270.0
01207,8405,Bourg-en-Bresse,326.0
01208,8404,Belley,136.0
01209,8416,Le Genevois Français,817.0
01210,8416,Le Genevois Français,230.0
01211,8405,Bourg-en-Bresse,1408.0
01212,8405,Bourg-en-Bresse,714.0
01213,8405,Bourg-en-Bresse,1392.0
01214,8425,Oyonnax,163.0
01215,8416,Le Genevois Français,141.0
01216,8404,Belley,892.0
01219,8405,Bourg-en-Bresse,163.0
01224,8421,Lyon,3381.0
01225,8434,Villefranche-sur-Saône,393.0
01227,8404,Belley,655.0
01228,8425,Oyonnax,679.0
01229,8405,Bourg-en-Bresse,1214.0
01230,8405,Bourg-en-Bresse,308.0
01231,0059,Mâcon,1955.0
01232,8405,Bourg-en-Bresse,2268.0
01233,8404,Belley,132.0
01234,8404,Belley,167.0
01235,8405,Bourg-en-Bresse,1182.0
01236,8405,Bourg-en-Bresse,1030.0
01237,8425,Oyonnax,1671.0
01238,8434,Villefranche-sur-Saône,2721.0
01239,8404,Belley,642.0
01240,8425,Oyonnax,629.0
01241,8405,Bourg-en-Bresse,1383.0
01242,8405,Bourg-en-Bresse,136.0
01243,8434,Villefranche-sur-Saône,1288.0
01244,8405,Bourg-en-Bresse,8085.0
01245,8405,Bourg-en-Bresse,965.0
01246,8405,Bourg-en-Bresse,2192.0
01247,8416,Le Genevois Français,297.0
01248,8421,Lyon,2227.0
01249,8421,Lyon,10225.0
01250,8434,Villefranche-sur-Saône,1994.0
01252,8434,Villefranche-sur-Saône,803.0
01254,8405,Bourg-en-Bresse,2145.0
01255,8405,Bourg-en-Bresse,666.0
01257,8416,Le Genevois Français,350.0
01258,8434,Villefranche-sur-Saône,1198.0
01259,8405,Bourg-en-Bresse,704.0
01260,8421,Lyon,319.0
01261,8421,Lyon,682.0
01262,8421,Lyon,6838.0
01263,8434,Villefranche-sur-Saône,3792.0
01264,8405,Bourg-en-Bresse,1008.0
01265,8425,Oyonnax,3541.0
01266,8405,Bourg-en-Bresse,2578.0
01267,8425,Oyonnax,990.0
01268,8404,Belley,240.0
01269,8425,Oyonnax,3449.0
01272,8405,Bourg-en-Bresse,1515.0
01273,8405,Bourg-en-Bresse,1799.0
01274,8425,Oyonnax,632.0
01275,8421,Lyon,2538.0
01276,8421,Lyon,1634.0
01277,8404,Belley,115.0
01279,8405,Bourg-en-Bresse,73.0
01280,8404,Belley,141.0
01281,8416,Le Genevois Français,4690.0
01282,8425,Oyonnax,255.0
01283,8425,Oyonnax,22277.0
01284,0059,Mâcon,725.0
01285,8434,Villefranche-sur-Saône,1319.0
01286,8404,Belley,955.0
01288,8416,Le Genevois Français,2838.0
01289,8405,Bourg-en-Bresse,6448.0
01290,8405,Bourg-en-Bresse,1346.0
01291,0059,Mâcon,852.0
01293,8425,Oyonnax,148.0
01294,8404,Belley,908.0
01295,8434,Villefranche-sur-Saône,666.0
01296,8405,Bourg-en-Bresse,407.0
01297,8421,Lyon,914.0
01298,8416,Le Genevois Français,161.0
01299,8405,Bourg-en-Bresse,579.0
01301,8405,Bourg-en-Bresse,2648.0
01302,8404,Belley,168.0
01303,8405,Bourg-en-Bresse,1729.0
01304,8405,Bourg-en-Bresse,2871.0
01305,0059,Mâcon,2189.0
01306,0059,Mâcon,1629.0
01307,8425,Oyonnax,843.0
01308,8416,Le Genevois Français,796.0
01309,8405,Bourg-en-Bresse,81.0
01310,8404,Belley,247.0
01311,8404,Belley,44.0
01313,8416,Le Genevois Français,9063.0
01314,8405,Bourg-en-Bresse,1764.0
01317,8405,Bourg-en-Bresse,331.0
01318,8434,Villefranche-sur-Saône,741.0
01319,8405,Bourg-en-Bresse,467.0
01320,0059,Mâcon,3899.0
01321,8405,Bourg-en-Bresse,896.0
01322,8434,Villefranche-sur-Saône,5098.0
01323,0059,Mâcon,1010.0
01325,8405,Bourg-en-Bresse,1098.0
01328,8405,Bourg-en-Bresse,617.0
01329,8404,Belley,160.0
01331,8405,Bourg-en-Bresse,192.0
01332,0059,Mâcon,809.0
01333,8421,Lyon,3368.0
01334,0059,Mâcon,675.0
01335,8405,Bourg-en-Bresse,418.0
01336,8405,Bourg-en-Bresse,1211.0
01337,0059,Mâcon,1343.0
01338,8404,Belley,1238.0
01339,8434,Villefranche-sur-Saône,1497.0
01342,8421,Lyon,547.0
01343,0059,Mâcon,1844.0
01344,8405,Bourg-en-Bresse,6063.0
01345,8405,Bourg-en-Bresse,2240.0
01346,8405,Bourg-en-Bresse,850.0
01347,8434,Villefranche-sur-Saône,2141.0
01348,8434,Villefranche-sur-Saône,3052.0
01349,8421,Lyon,524.0
01350,8405,Bourg-en-Bresse,2553.0
01351,8434,Villefranche-sur-Saône,1613.0
01352,0059,Mâcon,581.0
01353,8434,Villefranche-sur-Saône,1730.0
01354,8416,Le Genevois Français,14558.0
01355,0059,Mâcon,486.0
01356,8405,Bourg-en-Bresse,199.0
01357,8416,Le Genevois Français,505.0
01358,8404,Belley,425.0
01359,8405,Bourg-en-Bresse,257.0
01360,8416,Le Genevois Français,1988.0
01361,8421,Lyon,1826.0
01362,8434,Villefranche-sur-Saône,829.0
01363,8405,Bourg-en-Bresse,1786.0
01364,8405,Bourg-en-Bresse,767.0
01365,0059,Mâcon,1159.0
01366,8405,Bourg-en-Bresse,1090.0
