country,region_system,window_start,window_end,source_sector,target_sector,score_presence,score_sign,score_lag1,score_lag2,inferred_lag,inferred_sign,confidence,stability,covid_period,validation_status,provenance,claim_scope,score_direction
FR,ZE2020,2014,2020,BE,FZ,0.06621647626161575,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,GI,0.06567979604005814,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,JZ,0.0658249482512474,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,KZ,0.06614124029874802,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,LZ,0.06551802903413773,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,MN,0.06590629369020462,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,OQ,0.06622227281332016,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,BE,RU,0.06557119637727737,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,FZ,BE,0.06593481451272964,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,FZ,GI,0.0651078075170517,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,FZ,JZ,0.06522147357463837,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,FZ,KZ,0.06567457318305969,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
FR,ZE2020,2014,2020,FZ,LZ,0.06505149602890015,0.5,0.5,0.5,2,negative,0.5,0.701934207987652,pre_covid,ASSOCIATION_CANDIDATE,real_observed_association_score,analytic_association_only,0.5
